_id,name,state,type
5e31511d9143ce055e254c29,UDAIPUR,RAJASTHAN,TO
5e32cd4be3fd21325d6daba6,RATLAM,MADHYA PRADESH,TO
5e413eb9ff27534f6277b8da,ANANTAPUR,ANDHRA PRADESH,FROM
5e424c43fa30ab59e2d6078b,SAGAR,MADHYA PRADESH,TO
5e4d2d07304851493bd536b3,BIKANER,RAJASTHAN,TO
5e4e5dc52d718b5df2bb3621,KOTA,RAJASTHAN,TO
5e4fc0f3082247089e84d6bb,JAIPUR,RAJASTHAN,FROM
5e563ab0a6244a018bbcdae5,BILASPUR,CHATTISGARH,TO
5e5a08e782e61e07f3bd662b,SURGUJA,CHATTISGARH,TO
5e61dc696f10c5175bf8bdfa,DELHI,DELHI,FROM
5e6342c27d41183d43432dcf,NAGPUR,MAHARASHTRA,FROM
5e730bbdf3526e26b327de78,KOLHAPUR,MAHARASHTRA,FROM
5e7868ef7545fd3a9b6ad078,BARMER,RAJASTHAN,TO
5e7c72b35769e738815afe30,PURULIA,WEST BENGAL,TO
5e7df2b43671875d3acb4fe3,HOWRAH,WEST BENGAL,TO
5e7df2c53671875d3acb4fe4,NORTH 24 PARAGANAS,WEST BENGAL,TO
5e7df2dc3671875d3acb4fe5,SOUTH 24 PARAGANAS,WEST BENGAL,TO
5e7df2e73671875d3acb4fe6,DARJEELING,WEST BENGAL,TO
5e7df2f23671875d3acb4fe7,JALPAIGURI,WEST BENGAL,TO
5e7df2fd3671875d3acb4fe8,MALDA,WEST BENGAL,TO
5e7df3083671875d3acb4fe9,MURSHIDABAD,WEST BENGAL,TO
5e7df3393671875d3acb4fea,PURBA MEDINIPUR,WEST BENGAL,TO
5e7df3723671875d3acb4feb,PASCHIM BARDHAMAN,WEST BENGAL,TO
5e7df37d3671875d3acb4fec,JHARGRAM,WEST BENGAL,TO
5e7df3ac3671875d3acb4fed,BANKURA,WEST BENGAL,TO
5e7df3b53671875d3acb4fee,NADIA,WEST BENGAL,TO
5e7df3bf3671875d3acb4fef,KALIMPONG,WEST BENGAL,TO
5e7df3cf3671875d3acb4ff0,COOCH BEHAR,WEST BENGAL,TO
5e7df3dd3671875d3acb4ff1,ALIPURDUAR,WEST BENGAL,TO
5e7df4203671875d3acb4ff2,UTTAR DINAJPUR,WEST BENGAL,TO
5eedc7829275285f1b0e6dd2,BATHINDA,PUNJAB,TO
5eedc7949275285f1b0e6dd3,FAZILKA,PUNJAB,TO
5eedc86f9275285f1b0e6dd4,AMRITSAR,PUNJAB,TO
5eedc8939275285f1b0e6dd5,FATEHGARH SAHIB,PUNJAB,TO
5eedc8b19275285f1b0e6dd6,JALANDHAR,PUNJAB,TO
5eedc8c69275285f1b0e6dd7,GURDASPUR,PUNJAB,TO
5eedc8dc9275285f1b0e6dd8,HOSHIARPUR,PUNJAB,TO
5eedc8f69275285f1b0e6dd9,FIROZPUR,PUNJAB,TO
5eedc936abaa627266d53e9c,PATIALA,PUNJAB,TO
5eedc936abaa627266d53e9d,LUDHIANA,PUNJAB,TO
5eedc936abaa627266d53e9e,MOHALI,PUNJAB,TO
5eedc968abaa627266d55ca5,PATHANKOT,PUNJAB,TO
5eedc987abaa627266d55ca6,MOGA,PUNJAB,TO
5eeddaeb2ca942747cf298e0,HOSHANGABAD,MADHYA PRADESH,TO
5eeddb0f2ca942747cf298e1,MEERUT,UTTAR PRADESH,TO
5eee13df2ca942747cfe4d8a,GHAZIABAD,UTTAR PRADESH,FROM
5ef0b0e06190542e305a9b98,AGRA,UTTAR PRADESH,TO
5ef0b10d6190542e305a9b99,PRAYAGRAJ,UTTAR PRADESH,TO
5ef0b13f6190542e305a9b9a,RAE BARELI,UTTAR PRADESH,TO
5ef0b1756190542e305a9b9b,JHANSI,UTTAR PRADESH,TO
5ef1971696d9b14f81674f1c,DEHRADUN,UTTRAKHAND,TO
5ef1972d96d9b14f81674f1d,HARIDWAR,UTTRAKHAND,TO
5ef1974396d9b14f81674f1f,CHAMOLI,UTTRAKHAND,TO
5ef1975a96d9b14f81674f20,UTTARKASHI,UTTRAKHAND,TO
5ef1b1fb96d9b14f81719f14,SANGAREDDY,TELANGANA,TO
5ef1b3a996d9b14f81719f15,UNNAO,UTTAR PRADESH,TO
5ef1c53196d9b14f8175064f,HAPUR,UTTAR PRADESH,TO
5ef1c5dd96d9b14f81750650,BARABANKI,UTTAR PRADESH,TO
5ef1c64696d9b14f81750651,SHAHJAHANPUR,UTTAR PRADESH,TO
5ef1c77196d9b14f8175065d,SAHARANPUR,UTTAR PRADESH,TO
5ef1c78596d9b14f8175065e,BULANDSHAHR,UTTAR PRADESH,TO
5ef2f9a7d779505b76538db2,BADDI,HIMACHAL PRADESH,FROM
5f2cfd3baa6c481a22d21449,FARIDABAD,HARYANA,FROM
5f36836564d1b97745e13fa9,CHURU,RAJASTHAN,TO
5f3689dc64d1b97745e308a3,RATLAM,MADHYA PRADESH,FROM
5f3fafd105ecf814328e2363,HISAR,HARYANA,TO
5f44e9dfba06e0109f397bb0,HARIDWAR,UTTRAKHAND,FROM
5f46269dba06e0109f68681c,GWALIOR,MADHYA PRADESH,FROM
5f4c939e1f7fbc1125b7ce3b,ARIYALUR,TAMIL NADU,TO
5f5796aac086777ed2818dcd,KASHIPUR,UTTRAKHAND,FROM
5f6364183e97e343a1cf6b83,GUNTUR,ANDHRA PRADESH,TO
5f6b0c463421b362fe750a00,DAHEJ2,GUJARAT,FROM
5f6b0ea83421b362fe750a0c,GORAKHPUR,UTTAR PRADESH,FROM
5f6de1bd59871920625304c4,KANPUR DEHAT,UTTAR PRADESH,TO
5f7867f1f5848442a76ce3c8,JHALAWAR,RAJASTHAN,TO
5f7c636f443f5a1d6d612b62,KOTA,RAJASTHAN,FROM
5f8adde56631c810399fddb1,ASANSOL,WEST BENGAL,FROM
5f97d450c572a91df2558e34,KATNI,MADHYA PRADESH,FROM
5f9acaaef5f67e04df3208c7,BHANDARA,MAHARASHTRA,TO
5f9fcd5ff5f67e04dfb5ac90,UNA,HIMACHAL PRADESH,FROM
5fa2932bf5f67e04dfd65a5e,NAGDA,MADHYA PRADESH,TO
5fe31e8a39ba08258d679b8b,YAMUNANAGAR,HARYANA,TO
5fe485a59e74b5708db00278,ERODE,TAMIL NADU,TO
5fe6eff02cce3e4122f16f2f,SOUTH GOA,GOA,TO
5ff2c30f35f1d9418e94bb6e,BHUBANESHWAR,ODISHA,FROM
5ff3fdf0b886cb664546b138,BAREILLY,UTTAR PRADESH,TO
5ff573afa39b6879c03101b6,NALGONDA,TELANGANA,TO
5ff5a144e978ab40d34ba4be,GANJAM,ODISHA,TO
5ff7e82ab4a08104107d7151,PATNA,BIHAR,FROM
5ff95fa2b648c169515ca3ee,KAMRUP METROPOLITAN,ASSAM,TO
5ff95fefb648c169515ca3ef,MUZAFFARPUR,BIHAR,TO
60000a288a753078e6cd890d,AGRA,UTTAR PRADESH,FROM
6006be4e03a8c057351fa7b8,RANCHI,JHARKHAND,TO
600910e15ee8890614fbb540,ALLAHABAD,UTTAR PRADESH,FROM
600bed944ea836054a7c7671,NEEMUCH,MADHYA PRADESH,TO
600e601238403d50b220b0f0,CHANDIGARH,CHANDIGARH,TO
600e605f38403d50b220b0f1,RAJSAMAND,RAJASTHAN,TO
6013abff0243376d0396f751,EAST SIKKIM,SIKKIM,TO
6013ac100243376d0396f752,WEST SIKKIM,SIKKIM,TO
6013ac180243376d0396f754,NORTH SIKKIM,SIKKIM,TO
6013ac1d0243376d0396f755,SOUTH SIKKIM,SIKKIM,TO
6015222cb95e6f608c377ddb,CHANDAULI,UTTAR PRADESH,TO
60202ddefadad968ef2b4cb8,BOKARO,JHARKHAND,TO
60202e00fadad968ef2b4cb9,DUMKA,JHARKHAND,TO
60202e1cfadad968ef2b4cba,DEOGHAR,JHARKHAND,TO
60202e35fadad968ef2b4cbb,DHANBAD,JHARKHAND,TO
60202e84fadad968ef2bfdc2,EAST SINGHBHUM,JHARKHAND,TO
60202e90fadad968ef2bfdc3,WEST SINGHBHUM,JHARKHAND,TO
60202ebefadad968ef2bfdc4,GODDA,JHARKHAND,TO
60202ed2fadad968ef2bfdc5,GUMLA,JHARKHAND,TO
60202f20fadad968ef2bfdc6,GIRIDIH,JHARKHAND,TO
60202f3efadad968ef2bfdc7,LATEHAR,JHARKHAND,TO
60202f53fadad968ef2bfdc8,GARHWA,JHARKHAND,TO
